cancer_type	perc_diploid	nb_clones	nb_mut	nb_sig	min_dist	max_dist	avg_dist	avg_major_cn	actual_perc_diploid	avg_tot_cn	index	bic	aic	aicc	icl_q	icl_qn	bic_alt	sh_4	sh_5	sh_6	sh_7	sh_8	sh_9	sh_10	max_curvature	ll_1	ll_2	ll_3	ll_4	ll_5	ll_6	ll_7	ll_8	ll_9	ll_10	timestamp
24	20	2	100	65	0.2451034745216145	0.2451034745216145	0.2451034745216145	1.95	0.22	3.01	0	1	1	2	1	1	2	2	2	2	2	5	5	5	2	-782.8630564607788	-772.1296139203645	-771.5249125723135	-770.3093218864811	-768.4737276380417	-769.9302378140413	-768.2683277905736	-768.2794711064874	-768.2876622487051	-767.9763880418338	1559335111.370448
24	20	2	100	7	0.2451034745216145	0.2451034745216145	0.2451034745216145	1.95	0.22	3.01	0	1	2	1	1	1	2	2	4	4	4	4	4	4	2	-791.6054001629603	-781.7021830596444	-781.0168911091548	-779.9062335019679	-784.2051812317296	-779.9066587592893	-779.8978885930122	-779.9028378614743	-779.9002148974993	-779.8986058930029	1559335111.370448
24	40	2	100	65	0.05858682826243523	0.05858682826243523	0.05858682826243523	1.86	0.3	2.87	0	1	1	2	1	1	2	2	2	2	2	2	6	7	2	-840.6374100856656	-799.6544849087352	-799.6711773998896	-791.6176671327366	-790.2923886462646	-788.1331089433232	-787.6788887649777	-787.5736534397787	-787.362235655086	-787.2134829743619	1559334897.1197915
24	40	2	100	7	0.05858682826243523	0.05858682826243523	0.05858682826243523	1.86	0.3	2.87	0	2	2	2	1	2	2	2	2	3	5	5	5	5	2	-844.8161046984744	-808.9702872334661	-805.8225080880678	-804.335870209833	-803.6230311346071	-803.4557449391181	-803.4355155047317	-803.1484534933658	-802.7912352108714	-802.7937128479219	1559334897.1197915
24	60	2	100	65	0.3414697183316362	0.3414697183316362	0.3414697183316362	1.48	0.64	2.52	0	1	1	2	1	1	2	2	2	2	2	5	5	5	2	-814.1134606804696	-787.0783480739212	-785.0598017928055	-779.440571066536	-777.104898402818	-776.7872667748607	-776.7351533967396	-776.1823394150764	-776.1706542391673	-776.055302617144	1559335987.7337494
24	60	2	100	7	0.3414697183316362	0.3414697183316362	0.3414697183316362	1.48	0.64	2.52	0	2	2	2	1	2	2	2	2	2	2	4	7	7	2	-824.5429717422652	-802.1663948218303	-802.0306328736206	-800.7224559115034	-800.5566762529323	-800.4507956316829	-800.32473040843	-800.3271188119634	-800.326574596548	-800.3274384751663	1559335987.7337494
24	80	2	100	65	0.1303036325532172	0.1303036325532172	0.1303036325532172	1.2	0.85	2.2	0	1	1	2	1	1	2	2	2	2	2	2	2	7	3	-809.315185119682	-797.7978566928125	-807.7007246094327	-794.5250558626017	-787.3380432779906	-786.7800318201026	-786.0113475972893	-786.392742343656	-785.9473967997283	-785.8058153872362	1559334755.1826286
24	80	2	100	7	0.1303036325532172	0.1303036325532172	0.1303036325532172	1.2	0.85	2.2	0	1	2	1	1	1	2	1	3	4	4	4	8	6	2	-813.6176189756343	-804.3793520362098	-799.6506815913953	-798.6737604816444	-798.6680620762305	-798.5448244603438	-798.5460115362217	-798.5447806434255	-798.5462077577478	-798.5374421616426	1559334755.1826286
24	100	2	100	65	0.2151687593592609	0.2151687593592609	0.2151687593592609	1.0	1.0	2.0	0	1	1	2	1	1	2	2	4	3	3	3	3	7	2	-819.4918865508549	-779.6786223616502	-777.8367643809074	-777.3269333171128	-777.3277121641241	-776.6339561723962	-776.2768143260611	-776.2774826555618	-776.1172991335469	-776.1233480812576	1559334744.0211565
24	100	2	100	7	0.2151687593592609	0.2151687593592609	0.2151687593592609	1.0	1.0	2.0	0	2	2	2	2	2	2	3	2	5	5	5	5	5	2	-823.2847445456947	-788.7279639591014	-788.3673664035663	-788.3721900614427	-788.1174167511981	-788.5086273148394	-788.5101543112073	-788.1302058818773	-788.1168715741161	-788.2987521343953	1559334744.0211565
24	0	2	300	65	0.3339641379513155	0.3339641379513155	0.3339641379513155	2.2466666666666666	0.0	3.37	0	1	2	5	1	1	2	2	2	2	2	6	6	6	2	-2339.4435627990874	-2257.81192361538	-2252.1887561919593	-2250.074074645535	-2244.0940447220955	-2240.791381987	-2240.458078086216	-2239.5561433386433	-2238.660267994044	-2239.618164878182	1559337412.9479022
24	0	2	300	7	0.3339641379513155	0.3339641379513155	0.3339641379513155	2.2466666666666666	0.0	3.37	0	2	2	2	3	2	2	2	2	2	2	2	2	2	2	-2345.74957872871	-2266.816784821699	-2266.1604277795304	-2264.7531882305907	-2259.9469975767665	-2257.350037449557	-2256.930714676591	-2256.743117701449	-2256.7058170057635	-2256.738591216137	1559337412.9479022
24	20	2	300	65	0.20172929324257596	0.20172929324257596	0.20172929324257596	1.94	0.2433333333333333	3.056666666666666	0	1	1	5	1	1	2	2	3	4	4	4	7	7	2	-2443.3248696110736	-2431.3948082740258	-2428.478944614746	-2427.2888989468743	-2427.248898320289	-2427.1558747899007	-2427.085280751416	-2427.120426357529	-2427.1746254416203	-2427.232471262249	1559337877.6055198
24	20	2	300	7	0.20172929324257596	0.20172929324257596	0.20172929324257596	1.94	0.2433333333333333	3.056666666666666	0	1	1	1	2	1	1	2	2	5	5	5	5	5	2	-2452.148893110882	-2445.4069479357668	-2443.499113016625	-2442.5135751795115	-2442.49597001217	-2442.511425857849	-2442.5063322331102	-2442.5033057489545	-2442.5152618412017	-2442.503079996749	1559337877.6055198
24	40	2	300	65	0.20909664830875965	0.20909664830875965	0.20909664830875965	1.7033333333333334	0.4266666666666667	2.78	0	1	1	5	1	1	1	2	3	3	3	3	3	3	2	-2299.3529139763673	-2293.195389406856	-2291.5336169832017	-2291.4362239256548	-2291.2303385090536	-2291.2004582582604	-2291.1493623972933	-2291.138946267617	-2288.120729054138	-2287.7365581148088	1559336984.9170833
24	40	2	300	7	0.20909664830875965	0.20909664830875965	0.20909664830875965	1.7033333333333334	0.4266666666666667	2.78	0	1	1	1	3	1	1	2	2	5	5	4	4	5	2	-2305.612486137691	-2301.244546554467	-2299.906484302824	-2298.8535207281398	-2298.705722251551	-2299.003259614037	-2299.0093216611804	-2298.765584026461	-2298.77751290634	-2298.782378028667	1559336984.9170833
24	60	2	300	65	0.326355354634404	0.326355354634404	0.326355354634404	1.45	0.6266666666666667	2.45	0	1	1	5	1	1	2	2	2	2	2	2	2	5	2	-2401.845274270705	-2350.726612992747	-2363.224036369681	-2340.3262096317067	-2332.501085639635	-2331.507796439865	-2331.206124182939	-2327.164645931773	-2324.981852085064	-2323.703124939233	1559337605.7757123
24	60	2	300	7	0.326355354634404	0.326355354634404	0.326355354634404	1.45	0.6266666666666667	2.45	0	2	2	2	3	2	2	2	2	2	2	4	4	4	2	-2405.375199090503	-2359.1809885520256	-2355.914976416227	-2352.8501762351448	-2352.8588638315914	-2349.0482500922863	-2348.8639887076524	-2348.735803592049	-2348.665335566242	-2346.6306327643642	1559337605.7757123
24	80	2	300	65	0.7200653556720633	0.7200653556720633	0.7200653556720633	1.2466666666666666	0.8	2.2333333333333334	0	1	2	5	1	1	2	2	3	4	3	4	4	7	2	-2140.5174620036805	-2006.5725390199475	-2001.0553880822001	-1998.956578517211	-1998.5291457070707	-1997.9580812549493	-1996.0697677231185	-1996.1747731539074	-1996.4569159555415	-1996.355323808204	1559337190.4856203
24	80	2	300	7	0.7200653556720633	0.7200653556720633	0.7200653556720633	1.2466666666666666	0.8	2.2333333333333334	0	2	2	2	3	2	2	2	2	2	3	5	5	5	2	-2146.5811880873616	-2017.579633232982	-2016.0478531779645	-2015.466418504997	-2014.4066572725642	-2014.4020009651008	-2014.4103493153839	-2014.1685069909179	-2013.5094796295496	-2013.43624368599	1559337190.4856203
24	100	2	300	65	0.5020898163961071	0.5020898163961071	0.5020898163961071	1.0	1.0	2.0	0	1	2	5	1	1	2	2	2	2	5	5	5	5	2	-2342.420175728539	-2228.76279712533	-2226.706236190178	-2221.786695146484	-2220.4860523474013	-2220.3435033706064	-2220.1955606145825	-2220.1720234360487	-2220.028249319458	-2220.055435378059	1559338375.7568219
24	100	2	300	7	0.5020898163961071	0.5020898163961071	0.5020898163961071	1.0	1.0	2.0	0	2	2	2	3	2	2	2	2	2	2	2	2	6	2	-2346.8014353319722	-2238.665104880739	-2238.3830993054708	-2236.858251012889	-2235.0498716761654	-2234.689020918184	-2234.687624030886	-2234.688647882577	-2234.687732118536	-2234.671210928293	1559338375.7568219
24	0	2	600	65	0.05908609380595198	0.05908609380595198	0.05908609380595198	2.228333333333333	0.0	3.3466666666666667	0	1	2	10	1	1	2	2	2	4	4	7	7	7	2	-4706.911240559592	-4595.8406686520475	-4594.925635897256	-4592.356104625704	-4592.3363222322305	-4592.318825943722	-4591.981410348341	-4592.392271829148	-4592.063513673598	-4592.296204038938	1559338687.7567062
24	0	2	600	7	0.05908609380595198	0.05908609380595198	0.05908609380595198	2.228333333333333	0.0	3.3466666666666667	0	2	2	2	1	2	2	2	2	2	2	5	5	5	2	-4712.860729360499	-4605.5168833344205	-4604.952978867253	-4604.914345702298	-4603.799933084075	-4603.838917779429	-4603.860506831244	-4603.825005323917	-4603.831789650771	-4603.8095451619565	1559338687.7567062
24	20	2	600	65	0.06363206540119992	0.06363206540119992	0.06363206540119992	1.971666666666667	0.20666666666666667	3.095	0	1	1	10	1	1	2	2	2	2	6	6	6	6	2	-4696.838995643879	-4639.047744980351	-4635.191299026996	-4630.610486487926	-4629.795359532616	-4629.413617593147	-4630.150010966664	-4629.768229497552	-4629.861505650821	-4629.883638172913	1559337939.4744544
24	20	2	600	7	0.06363206540119992	0.06363206540119992	0.06363206540119992	1.971666666666667	0.20666666666666667	3.095	0	2	2	2	8	2	2	2	2	2	5	7	4	5	2	-4702.36694859444	-4647.692048700469	-4644.848971589936	-4641.859138050704	-4640.866115152468	-4640.869335245864	-4640.858934467646	-4640.878032900342	-4640.853064638783	-4640.86159321006	1559337939.4744544
24	40	2	600	65	0.23446839612837775	0.23446839612837775	0.23446839612837775	1.7016666666666669	0.4133333333333333	2.7466666666666666	0	1	2	10	1	1	2	2	2	2	2	2	2	2	2	-4933.54775174075	-4854.716187760465	-4851.007026974389	-4850.295774625394	-4838.135035203561	-4837.575953351583	-4835.139774089177	-4831.785724000668	-4831.099646910041	-4830.916605623567	1559339829.7628396
