nb_mut	nb_clones	cancer_type	nb_sig_subMU	seed	perc_dip	loglikelihood_MU	loglikelihood_nopi_MU	loglikelihood_subMU	loglikelihood_nopi_subMU	timestamp
1000	4	14	12	2819	0.8	-7674.7078119081725	-7710.617754132124	-7700.536951267324	-7720.556749446759	1560227895.955243
1000	4	14	12	2820	1.0	-7682.067568890175	-7696.7716001509525	-7697.615586028413	-7704.601749837506	1560227750.1535962
1000	4	15	12	2821	0.0	-8530.431346121557	-8549.049752083343	-8542.455208340427	-8549.858966800963	1560235946.262038
1000	4	15	12	2822	0.2	-7995.022020665683	-8018.1387910439635	-8006.191638890748	-8020.540803124023	1560227181.2589061
1000	4	15	12	2823	0.4	-7679.38584757274	-7700.489313910727	-7697.470826610348	-7705.889089248574	1560227295.9522808
1000	4	15	12	2824	0.6	-8087.894389932633	-8113.354523078089	-8104.337258989351	-8114.680418370719	1560227074.3843799
1000	4	15	12	2825	0.8	-8280.177562858076	-8301.596480670218	-8301.572658353003	-8307.211756367851	1560227274.3101714
1000	4	15	12	2826	1.0	-8188.743472893988	-8218.504470202053	-8211.860499062823	-8225.719757233903	1560226821.6410623
1000	4	16	8	2827	0.0	-8103.059960183494	-8112.728374095292	-8100.016545935867	-8104.907529522772	1560227480.2117786
1000	4	16	8	2828	0.2	-8392.704457067175	-8413.880642896935	-8422.632589501594	-8426.877207313843	1560227356.480676
1000	4	16	8	2829	0.4	-7211.674226851549	-7226.912219445967	-7216.084153810251	-7227.671164160141	1560228059.1398075
1000	4	16	8	2830	0.6	-7671.003271058506	-7684.4456621949475	-7687.358643864678	-7690.959605800536	1560227294.8877814
1000	4	16	8	2831	0.8	-7516.561830269846	-7548.790279481295	-7540.920636441611	-7556.2038573315385	1560227392.8494558
1000	4	16	8	2832	1.0	-7464.644704706707	-7480.757346352322	-7481.318766003636	-7486.404274995102	1560226958.4037743
1000	4	17	10	2833	0.0	-8049.283031309388	-8068.231676300346	-8070.543524550312	-8074.870061625288	1560228246.2798772
1000	4	17	10	2834	0.2	-8175.732564687728	-8193.955442282764	-8196.398886757688	-8202.233486680923	1560228001.2741008
1000	4	17	10	2835	0.4	-7283.12759016877	-7301.3849537346105	-7296.794393219966	-7305.524911210099	1560227971.7511692
1000	4	17	10	2836	0.6	-8262.230929036741	-8283.664665306838	-8279.188353271213	-8284.246330904609	1560227742.5034738
1000	4	17	10	2837	0.8	-7764.819025428259	-7791.8268894256935	-7796.306855466317	-7804.813627075282	1560227905.6321945
1000	4	17	10	2838	1.0	-7601.010785776883	-7629.604122902691	-7621.582553467506	-7632.848274664956	1560227034.7981677
1000	4	18	18	2839	0.0	-8475.873180544346	-8498.644356502366	-8502.310533490985	-8511.061349198473	1560227855.6696682
1000	4	18	18	2840	0.2	-8486.32122731347	-8502.197303484656	-8497.355127983494	-8508.841257163087	1560227561.9217308
1000	4	18	18	2841	0.4	-7811.435386334046	-7829.155603839024	-7819.401704737065	-7830.424907431015	1560227472.6174517
1000	4	18	18	2842	0.6	-7526.03137734248	-7554.497832166798	-7539.892391362861	-7558.533250222346	1560227575.6321683
1000	4	18	18	2843	0.8	-8049.740521256371	-8072.714214646415	-8065.815863507235	-8078.7224674297195	1560227636.6298194
1000	4	18	18	2844	1.0	-7846.212132393624	-7865.514919403209	-7855.29550810524	-7863.140022341944	1560227305.1524231
1000	4	19	12	2845	0.0	-8642.757235849642	-8676.108578003794	-8668.459202928909	-8686.124122974476	1560227811.9473398
1000	4	19	12	2846	0.2	-8683.593294403043	-8709.291710858644	-8708.034821943711	-8717.104628431121	1560236215.838515
1000	4	19	12	2847	0.4	-6178.529238165672	-6187.59546731815	-6189.347172219928	-6192.491468938939	1560227209.6392694
